name,state,city
"Patparganj, Delhi - DPCC",Delhi,Delhi
"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi
"Pusa, Delhi - DPCC",Delhi,Delhi
"Pusa, Delhi - IMD",Delhi,Delhi
"R K Puram, Delhi - DPCC",Delhi,Delhi
"Rohini, Delhi - DPCC",Delhi,Delhi
"Shadipur, Delhi - CPCB",Delhi,Delhi
"Sirifort, Delhi - CPCB",Delhi,Delhi
"Sonia Vihar, Delhi - DPCC",Delhi,Delhi
"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi
"Vivek Vihar, Delhi - DPCC",Delhi,Delhi
"Wazirpur, Delhi - DPCC",Delhi,Delhi
"Chandkheda, Ahmedabad - IITM",Gujarat,Ahmedabad
"Gyaspur, Ahmedabad - IITM",Gujarat,Ahmedabad
"Maninagar, Ahmedabad - GPCB",Gujarat,Ahmedabad
"Raikhad, Ahmedabad - IITM",Gujarat,Ahmedabad
"Rakhial, Ahmedabad - IITM",Gujarat,Ahmedabad
"SAC ISRO Bopal, Ahmedabad - IITM",Gujarat,Ahmedabad
"SAC ISRO Satellite, Ahmedabad - IITM",Gujarat,Ahmedabad
"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat,Ahmedabad
"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",Gujarat,Ahmedabad
"GIDC, Ankleshwar - GPCB",Gujarat,Ankleshwar
"GIFT City, Gandhinagar - IITM",Gujarat,Gandhinagar
"IIPHG Lekawada, Gandhinagar - IITM",Gujarat,Gandhinagar
"Sector-10, Gandhinagar - GPCB",Gujarat,Gandhinagar
"GIDC, Nandesari - Nandesari Ind. Association",Gujarat,Nandesari
"Science Center, Surat - SMC",Gujarat,Surat
"Phase-1 GIDC, Vapi - GPCB",Gujarat,Vapi
"Phase-4 GIDC, Vatva - GPCB",Gujarat,Vatva
"Patti Mehar, Ambala - HSPCB",Haryana,Ambala
"Arya Nagar, Bahadurgarh - HSPCB",Haryana,Bahadurgarh
"Nathu Colony, Ballabgarh - HSPCB",Haryana,Ballabgarh
"H.B. Colony, Bhiwani - HSPCB",Haryana,Bhiwani
"Mini Secretariat, Charkhi Dadri - HSPCB",Haryana,Charkhi Dadri
"Municipal Corporation Office, Dharuhera -  HSPCB",Haryana,Dharuhera
"New Industrial Town, Faridabad - HSPCB",Haryana,Faridabad
"Sector 11, Faridabad - HSPCB",Haryana,Faridabad
"Sector 30, Faridabad - HSPCB",Haryana,Faridabad
"Sector- 16A, Faridabad - HSPCB",Haryana,Faridabad
"Huda Sector, Fatehabad - HSPCB",Haryana,Fatehabad
"NISE Gwal Pahari, Gurugram - IMD",Haryana,Gurugram
"Sector-51, Gurugram - HSPCB",Haryana,Gurugram
"Teri Gram, Gurugram - HSPCB",Haryana,Gurugram
"Vikas Sadan, Gurugram - HSPCB",Haryana,Gurugram
"Urban Estate-II, Hisar - HSPCB",Haryana,Hisar
"Police Lines, Jind - HSPCB",Haryana,Jind
"Rishi Nagar, Kaithal - HSPCB",Haryana,Kaithal
"Sector-12, Karnal - HSPCB",Haryana,Karnal
"Sector-7, Kurukshetra - HSPCB",Haryana,Kurukshetra 
"General Hospital, Mandikhera - HSPCB",Haryana,Mandikhera
"Sector-2 IMT, Manesar - HSPCB",Haryana,Manesar
"Shastri Nagar, Narnaul - HSPCB",Haryana,Narnaul
"Shyam Nagar, Palwal - HSPCB",Haryana,Palwal 
"Sector-6, Panchkula - HSPCB ",Haryana,Panchkula
"Sector-18, Panipat - HSPCB",Haryana,Panipat
"MD University, Rohtak - HSPCB",Haryana,Rohtak
"F-Block, Sirsa - HSPCB",Haryana,Sirsa
"Murthal, Sonipat - HSPCB",Haryana,Sonipat
"Gobind Pura, Yamuna Nagar - HSPCB",Haryana,Yamuna Nagar
"HIMUDA Complex Phase-1, Baddi - HPPCB",Himachal Pradesh,Baddi
"Rajbagh, Srinagar - JKSPCB",Jammu and Kashmir,Srinagar
"Sardar Patel Nagar, Dhanbad - JSPCB",Jharkhand,Dhanbad
"Tata Stadium, Jorapokhar - JSPCB",Jharkhand,Jorapokhar
"Vidayagiri, Bagalkot - KSPCB",Karnataka,Bagalkot
"Ramteerth Nagar, Belgaum - KSPCB",Karnataka,Belgaum
"BTM Layout, Bengaluru - CPCB",Karnataka,Bengaluru
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Karnataka,Bengaluru
"Bapuji Nagar, Bengaluru - KSPCB",Karnataka,Bengaluru
"City Railway Station, Bengaluru - KSPCB",Karnataka,Bengaluru
"Hebbal, Bengaluru - KSPCB",Karnataka,Bengaluru
"Hombegowda Nagar, Bengaluru - KSPCB",Karnataka,Bengaluru
"Jayanagar 5th Block, Bengaluru - KSPCB",Karnataka,Bengaluru
"Peenya, Bengaluru - CPCB",Karnataka,Bengaluru
"RVCE-Mailasandra, Bengaluru - KSPCB",Karnataka,Bengaluru
"Sanegurava Halli, Bengaluru - KSPCB",Karnataka,Bengaluru
"Shivapura_Peenya, Bengaluru - KSPCB",Karnataka,Bengaluru
"Silk Board, Bengaluru - KSPCB",Karnataka,Bengaluru
"Naubad, Bidar - KSPCB",Karnataka,Bidar
"Urban, Chamarajanagar - KSPCB",Karnataka,Chamarajanagar
"Chikkaballapur Rural, Chikkaballapur - KSPCB",Karnataka,Chikkaballapur
"Kalyana Nagara, Chikkamagaluru - KSPCB",Karnataka,Chikkamagaluru
"Devaraj Urs Badavane, Davanagere - KSPCB",Karnataka,Davanagere
"Kalabhavan, Dharwad - KSPCB",Karnataka,Dharwad
"Panchal Nagar, Gadag - KSPCB",Karnataka,Gadag
"B.Katihalli, Hassan - KSPCB",Karnataka,Hassan
"Ashwini Nagar, Haveri - KSPCB",Karnataka,Haveri
"Deshpande Nagar, Hubballi - KSPCB",Karnataka,Hubballi
"Lingaraj Nagar, Hubballi - KSPCB",Karnataka,Hubballi
"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Karnataka,Kalaburagi
"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",Karnataka,Kalaburagi
"Tamaka Ind. Area, Kolar - KSPCB",Karnataka,Kolar
"Diwator Nagar, Koppal - KSPCB",Karnataka,Koppal
"Stuart Hill, Madikeri - KSPCB",Karnataka,Madikeri
"Kadri, Mangalore - KSPCB",Karnataka,Mangalore
"Hebbal 1st Stage, Mysuru - KSPCB",Karnataka,Mysuru
"Haji Colony, Raichur - KSPCB",Karnataka,Raichur
"Vijay Nagar, Ramanagara - KSPCB",Karnataka,Ramanagara
"Vinoba Nagara, Shivamogga - KSPCB",Karnataka,Shivamogga
"Thimmalapura, Tumakuru - KSPCB",Karnataka,Tumakuru
"Brahmagiri, Udupi - KSPCB",Karnataka,Udupi
"Ibrahimpur, Vijayapura - KSPCB",Karnataka,Vijayapura
"Collector Office, Yadgir - KSPCB",Karnataka,Yadgir
"Udyogamandal, Eloor - Kerala PCB",Kerala,Eloor
"Kacheripady, Ernakulam - Kerala PCB",Kerala,Ernakulam
"Thavakkara, Kannur - Kerala PCB",Kerala,Kannur
"Vyttila, Kochi - Kerala PCB",Kerala,Kochi
"Polayathode, Kollam - Kerala PCB",Kerala,Kollam
"Palayam, Kozhikode - Kerala PCB",Kerala,Kozhikode
"Kariavattom, Thiruvananthapuram - Kerala PCB",Kerala,Thiruvananthapuram
"Plammoodu, Thiruvananthapuram - Kerala PCB",Kerala,Thiruvananthapuram
"Corporation Ground, Thrissur - Kerala PCB",Kerala,Thrissur
"Idgah Hills, Bhopal - MPPCB",Madhya Pradesh,Bhopal
"Paryavaran Parisar, Bhopal - MPPCB",Madhya Pradesh,Bhopal
"T T Nagar, Bhopal - MPPCB",Madhya Pradesh,Bhopal
"Shrivastav Colony, Damoh - MPPCB",Madhya Pradesh,Damoh
"Bhopal Chauraha, Dewas - MPPCB",Madhya Pradesh,Dewas
"City Center, Gwalior - MPPCB",Madhya Pradesh,Gwalior
"Deen Dayal Nagar, Gwalior - MPPCB",Madhya Pradesh,Gwalior
"Maharaj Bada, Gwalior - MPPCB",Madhya Pradesh,Gwalior
"Phool Bagh, Gwalior - Mondelez Ind. Food",Madhya Pradesh,Gwalior
"Chhoti Gwaltoli, Indore - MPPCB",Madhya Pradesh,Indore
"Vijay Nagar Scheme-78, Indore - Glenmark",Madhya Pradesh,Indore
"Marhatal, Jabalpur - MPPCB",Madhya Pradesh,Jabalpur
"Gole Bazar, Katni - MPPCB",Madhya Pradesh,Katni
"Sahilara, Maihar - KJS Cements",Madhya Pradesh,Maihar
"Sector-D Industrial Area, Mandideep - MPPCB",Madhya Pradesh,Mandideep
"Sector-2 Industrial Area, Pithampur - MPPCB",Madhya Pradesh,Pithampur
"Shasthri Nagar, Ratlam - IPCA Lab",Madhya Pradesh,Ratlam
"Civil Lines, Sagar - MPPCB",Madhya Pradesh,Sagar
"Deen Dayal Nagar, Sagar - MPPCB",Madhya Pradesh,Sagar
"Bandhavgar Colony, Satna - Birla Cement",Madhya Pradesh,Satna
"Suryakiran Bhawan NCL, Singrauli - MPPCB",Madhya Pradesh,Singrauli
"Mahakaleshwar Temple, Ujjain - MPPCB",Madhya Pradesh,Ujjain
"More Chowk Waluj, Aurangabad - MPCB",Maharashtra,Aurangabad
"Chauhan Colony, Chandrapur - MPCB",Maharashtra,Chandrapur
"MIDC Khutala, Chandrapur - MPCB",Maharashtra,Chandrapur
"Khadakpada, Kalyan - MPCB",Maharashtra,Kalyan
"Bandra Kurla Complex, Mumbai - IITM",Maharashtra,Mumbai
"Bandra, Mumbai - MPCB",Maharashtra,Mumbai
"Borivali East, Mumbai - IITM",Maharashtra,Mumbai
"Borivali East, Mumbai - MPCB",Maharashtra,Mumbai
"Chakala-Andheri East, Mumbai - IITM",Maharashtra,Mumbai
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Maharashtra,Mumbai
"Colaba, Mumbai - MPCB",Maharashtra,Mumbai
"Deonar, Mumbai - IITM",Maharashtra,Mumbai
"Kandivali East, Mumbai - MPCB",Maharashtra,Mumbai
"Khindipada-Bhandup West, Mumbai - IITM",Maharashtra,Mumbai
"Kurla, Mumbai - MPCB",Maharashtra,Mumbai
"Malad West, Mumbai - IITM",Maharashtra,Mumbai
"Mazgaon, Mumbai - IITM",Maharashtra,Mumbai
"Mulund West, Mumbai - MPCB",Maharashtra,Mumbai
"Navy Nagar-Colaba, Mumbai - IITM",Maharashtra,Mumbai
"Powai, Mumbai - MPCB",Maharashtra,Mumbai
"Siddharth Nagar-Worli, Mumbai - IITM",Maharashtra,Mumbai
"Sion, Mumbai - MPCB",Maharashtra,Mumbai
"Vasai West, Mumbai - MPCB",Maharashtra,Mumbai
"Vile Parle West, Mumbai - MPCB",Maharashtra,Mumbai
"Worli, Mumbai - MPCB",Maharashtra,Mumbai
"Opp GPO Civil Lines, Nagpur - MPCB",Maharashtra,Nagpur
"Gangapur Road, Nashik - MPCB",Maharashtra,Nashik
"Airoli, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai
"Mahape, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai
"Nerul, Navi Mumbai - MPCB",Maharashtra,Navi Mumbai
"Sector-19A Nerul, Navi Mumbai - IITM",Maharashtra,Navi Mumbai
"Alandi, Pune - IITM",Maharashtra,Pune
"Bhosari, Pune - IITM",Maharashtra,Pune
"Hadapsar, Pune - IITM",Maharashtra,Pune
"Karve Road, Pune - MPCB",Maharashtra,Pune
"MIT-Kothrud, Pune - IITM",Maharashtra,Pune
"Mhada Colony, Pune - IITM",Maharashtra,Pune
"Revenue Colony-Shivajinagar, Pune - IITM",Maharashtra,Pune
"Transport Nagar-Nigdi, Pune - IITM",Maharashtra,Pune
"Solapur, Solapur - MPCB",Maharashtra,Solapur
"Pimpleshwar Mandir, Thane - MPCB",Maharashtra,Thane
"DM College of Science, Imphal - Manipur PCB",Manipur,Imphal
"Manipur University, Imphal - Manipur PCB",Manipur,Imphal
"JN Stadium, Shillong - Meghalaya PCB",Meghalaya ,Shillong
"Lumpyngngad, Shillong - Meghalaya PCB",Meghalaya ,Shillong
"Sikulpuikawn, Aizawl - Mizoram PCB",Mizoram,Aizawl
"PWD Juction, Kohima - NPCB",Nagaland,Kohima
"Meher Colony, Baripada - OSPCB",Odisha,Baripada
"Tata Township, Bileipada - OSPCB",Odisha,Bileipada
"GM Office, Brajrajnagar - OSPCB",Odisha,Brajrajnagar
"Jagamohanpur, Keonjhar - OSPCB",Odisha,Keonjhar
"Dabuna, Nayagarh - OSPCB",Odisha,Nayagarh
"Divisional Forest Office, Rairangpur - OSPCB",Odisha,Rairangpur
"Fertilizer Township, Rourkela - OSPCB",Odisha,Rourkela
"Raghunathpali, Rourkela - OSPCB",Odisha,Rourkela
"Sector-2, Rourkela - OSPCB",Odisha,Rourkela
"OMC Colony, Suakati - OSPCB",Odisha,Suakati
"Talcher Coalfields,Talcher - OSPCB",Odisha,Talcher
"Barsua Iron Ore Mines, Tensa - OSPCB",Odisha,Tensa
"Jawahar Nagar, Puducherry - PPCC",Puducherry,Puducherry
"Golden Temple, Amritsar - PPCB",Punjab,Amritsar
"Hardev Nagar, Bathinda - PPCB",Punjab,Bathinda
"Civil Line, Jalandhar - PPCB",Punjab,Jalandhar
"Kalal Majra, Khanna - PPCB",Punjab,Khanna
"Punjab Agricultural University, Ludhiana - PPCB",Punjab,Ludhiana
"RIMT University, Mandi Gobindgarh - PPCB",Punjab,Mandi Gobindgarh
"Model Town, Patiala - PPCB",Punjab,Patiala
"Ratanpura, Rupnagar - Ambuja Cements",Punjab,Rupnagar
"Civil Lines,  Ajmer - RSPCB",Rajasthan,Ajmer
"Moti Doongri, Alwar - RSPCB",Rajasthan,Alwar
"Rati Talai, Banswara - RSPCB",Rajasthan,Banswara
"Railway Colony, Barmer - RSPCB",Rajasthan,Barmer
"Krishna Nagar, Bharatpur - RSPCB",Rajasthan,Bharatpur
"RIICO Ind. Area III, Bhiwadi - RSPCB",Rajasthan,Bhiwadi
"MM Ground, Bikaner - RSPCB",Rajasthan,Bikaner
"Shastri Nagar, Chittorgarh - RSPCB",Rajasthan,Chittorgarh
"Subash Chowk, Churu - RSPCB",Rajasthan,Churu
"Khatikan Mohalla, Dausa - RSPCB",Rajasthan,Dausa
"Raja Ganj, Dholpur - RSPCB",Rajasthan,Dholpur
"Housing Board, Hanumangarh - RSPCB",Rajasthan,Hanumangarh
"Adarsh Nagar, Jaipur - RSPCB",Rajasthan,Jaipur
"Mansarovar Sector-12, Jaipur - RSPCB",Rajasthan,Jaipur
"Police Commissionerate, Jaipur - RSPCB",Rajasthan,Jaipur
"Sector-2 Murlipura, Jaipur - RSPCB",Rajasthan,Jaipur
"Shastri Nagar, Jaipur - RSPCB",Rajasthan,Jaipur
"Rajlaxmi Nagar, Jhalawar - RSPCB",Rajasthan,Jhalawar
"Indra Nagar, Jhunjhunu - RSPCB",Rajasthan,Jhunjhunu
"Collectorate, Jodhpur - RSPCB",Rajasthan,Jodhpur
"Jhalamand, Jodhpur - RSPCB",Rajasthan,Jodhpur
"Samrat Ashok Udhyan, Jodhpur - RSPCB",Rajasthan,Jodhpur
"Satyawati Vihar, Karauli - RSPCB",Rajasthan,Karauli
"Dhanmandi, Kota - RSPCB",Rajasthan,Kota
"Nayapura, Kota - RSPCB",Rajasthan,Kota
"Shrinath Puram, Kota - RSPCB",Rajasthan,Kota
"Indira Colony Vistar, Pali - RSPCB",Rajasthan,Pali
"Pragati Nagar, Pratapgarh - RSPCB",Rajasthan,Pratapgarh
"Dhoinda, Rajsamand - RSPCB",Rajasthan,Rajsamand
"Sahu Nagar, Sawai Madhopur - RSPCB",Rajasthan,Sawai Madhopur
"Radhakishan Pura, Sikar - RSPCB",Rajasthan,Sikar
"Vedhaynath Colony, Sirohi - RSPCB",Rajasthan,Sirohi
"Old City, Sri Ganganagar - RSPCB",Rajasthan,Sri Ganganagar
"Shastri Nagar, Tonk - RSPCB",Rajasthan,Tonk
"Ashok Nagar, Udaipur - RSPCB",Rajasthan,Udaipur
"Zero Point GICI, Gangtok - SSPCB",Sikkim,Gangtok
"Keelapalur, Ariyalur - TNPCB",Tamil Nadu,Ariyalur
"Crescent University, Chengalpattu - TNPCB",Tamil Nadu,Chengalpattu
"Alandur Bus Depot, Chennai - CPCB",Tamil Nadu,Chennai
"Arumbakkam, Chennai - TNPCB",Tamil Nadu,Chennai
"Gandhi Nagar_Ennore, Chennai - TNPCB",Tamil Nadu,Chennai
"Kodungaiyur, Chennai - TNPCB",Tamil Nadu,Chennai
"Manali Village, Chennai - TNPCB",Tamil Nadu,Chennai
"Manali, Chennai - CPCB",Tamil Nadu,Chennai
"Perungudi, Chennai - TNPCB",Tamil Nadu,Chennai
"Royapuram, Chennai - TNPCB",Tamil Nadu,Chennai
"Velachery Res. Area, Chennai - CPCB",Tamil Nadu,Chennai
"PSG College of Arts and Science, Coimbatore - TNPCB",Tamil Nadu,Coimbatore
"SIDCO Kurichi, Coimbatore - TNPCB",Tamil Nadu,Coimbatore
"Kudikadu, Cuddalore - TNPCB",Tamil Nadu,Cuddalore
"Semmandalam, Cuddalore - TNPCB",Tamil Nadu,Cuddalore
"Mendonsa Colony, Dindigul - TNPCB",Tamil Nadu,Dindigul
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Tamil Nadu,Gummidipoondi
"SIPCOT Phase-1, Hosur - TNPCB",Tamil Nadu,Hosur
"Kilambi, Kanchipuram - TNPCB",Tamil Nadu,Kanchipuram
"Bombay Castel, Ooty - TNPCB",Tamil Nadu,Ooty
"Bharathidasan University, Palkalaiperur - TNPCB",Tamil Nadu,Palkalaiperur
"Chalai Bazaar, Ramanathapuram - TNPCB",Tamil Nadu,Ramanathapuram
"Sona College of Technology, Salem - TNPCB",Tamil Nadu,Salem
"Meelavittan, Thoothukudi - TNPCB",Tamil Nadu,Thoothukudi
"Kumaran College, Tirupur - TNPCB",Tamil Nadu,Tirupur
"Vasanthapuram, Vellore - TNPCB",Tamil Nadu,Vellore
"Bollaram Industrial Area, Hyderabad - TSPCB",Telangana,Hyderabad
"Central University, Hyderabad - TSPCB",Telangana,Hyderabad
"ECIL Kapra, Hyderabad - TSPCB",Telangana,Hyderabad
"ICRISAT Patancheru, Hyderabad - TSPCB",Telangana,Hyderabad
"IDA Pashamylaram, Hyderabad - TSPCB",Telangana,Hyderabad
"IITH Kandi, Hyderabad - TSPCB",Telangana,Hyderabad
"Kokapet, Hyderabad - TSPCB",Telangana,Hyderabad
"Kompally Municipal Office, Hyderabad - TSPCB",Telangana,Hyderabad
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",Telangana,Hyderabad
"New Malakpet, Hyderabad - TSPCB",Telangana,Hyderabad
"Ramachandrapuram, Hyderabad - TSPCB",Telangana,Hyderabad
"Sanathnagar, Hyderabad - TSPCB",Telangana,Hyderabad
"Somajiguda, Hyderabad - TSPCB",Telangana,Hyderabad
"Zoo Park, Hyderabad - TSPCB",Telangana,Hyderabad
"Bardowali, Agartala - Tripura SPCB",Tripura,Agartala
"Kunjaban, Agartala - Tripura SPCB",Tripura,Agartala
"Manoharpur, Agra - UPPCB",Uttar Pradesh,Agra
"Rohta, Agra - UPPCB",Uttar Pradesh,Agra
"Sanjay Palace, Agra - UPPCB",Uttar Pradesh,Agra
"Sector-3B Avas Vikas Colony, Agra - UPPCB",Uttar Pradesh,Agra
"Shahjahan Garden, Agra - UPPCB",Uttar Pradesh,Agra
"Shastripuram, Agra - UPPCB",Uttar Pradesh,Agra
"New Collectorate, Baghpat - UPPCB",Uttar Pradesh,Baghpat
"Sardar Patel Inter College, Baghpat - UPPCB",Uttar Pradesh,Baghpat
"Civil Lines, Bareilly - UPPCB",Uttar Pradesh,Bareilly
"Rajendra Nagar, Bareilly - UPPCB",Uttar Pradesh,Bareilly
"Yamunapuram, Bulandshahr - UPPCB",Uttar Pradesh,Bulandshahr
"Nagla Bhau, Firozabad - UPPCB",Uttar Pradesh,Firozabad
"Vibhab Nagar, Firozabad - UPPCB",Uttar Pradesh,Firozabad
"Indirapuram, Ghaziabad - UPPCB",Uttar Pradesh,Ghaziabad
"Loni, Ghaziabad - UPPCB",Uttar Pradesh,Ghaziabad
"Sanjay Nagar, Ghaziabad - UPPCB",Uttar Pradesh,Ghaziabad
"Vasundhara, Ghaziabad - UPPCB",Uttar Pradesh,Ghaziabad
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",Uttar Pradesh,Gorakhpur
"Knowledge Park - III, Greater Noida - UPPCB",Uttar Pradesh,Greater Noida
"Knowledge Park - V, Greater Noida - UPPCB",Uttar Pradesh,Greater Noida
"Anand Vihar, Hapur - UPPCB",Uttar Pradesh,Hapur
"Shivaji Nagar, Jhansi - UPPCB",Uttar Pradesh,Jhansi
"FTI Kidwai Nagar, Kanpur - UPPCB",Uttar Pradesh,Kanpur
"IITK, Kanpur - IITK",Uttar Pradesh,Kanpur
"NSI Kalyanpur, Kanpur - UPPCB",Uttar Pradesh,Kanpur
"Nehru Nagar, Kanpur - UPPCB",Uttar Pradesh,Kanpur
"Kalindi Kunj, Khurja - UPPCB",Uttar Pradesh,Khurja
"B R Ambedkar University, Lucknow - UPPCB",Uttar Pradesh,Lucknow
"Gomti Nagar, Lucknow - UPPCB",Uttar Pradesh,Lucknow
"Kendriya Vidyalaya, Lucknow - CPCB",Uttar Pradesh,Lucknow
"Kukrail Picnic Spot-1, Lucknow - UPPCB",Uttar Pradesh,Lucknow
